id;playerId;row;col;resultType;magnitude
1;2;2;1;2;1
2;2;1;2;3;1
3;2;2;2;1;1
4;2;2;2;7;1
5;2;1;3;2;2
6;2;2;3;1;1
7;2;2;3;7;2
8;2;1;4;4;1
9;2;2;4;1;1
10;2;2;4;5;1
11;2;2;4;6;1
12;2;2;5;2;3
13;2;2;6;1;1
14;2;2;6;2;3
15;2;2;6;5;2
16;1;2;1;2;1
17;1;1;2;3;1
18;1;2;2;1;1
19;1;2;2;5;1
20;1;1;3;2;2
21;1;2;3;1;1
22;1;2;3;5;2
23;1;2;4;1;1
24;1;2;4;3;1
25;3;2;1;2;1
26;3;2;2;1;1
27;3;2;2;5;1
28;3;1;3;2;2
29;3;2;3;1;1
30;3;2;3;2;1
31;3;2;3;7;1
32;3;1;4;4;1
33;3;2;4;1;1
34;3;2;4;5;2
35;3;1;5;3;1
36;3;2;5;2;3
37;3;1;6;1;1
38;3;1;6;2;2
39;3;1;6;7;1
40;3;2;6;1;1
41;3;2;6;2;3
42;3;2;6;5;2
43;3;2;7;1;1
44;3;2;7;2;3
45;3;2;7;7;1
46;3;2;8;2;3
47;3;2;8;4;1
48;0;0;0;0;0
